movie_id,title,cast,crew
44833,Battleship,"Taylor Kitsch, Alexander Skarsgård, Rihanna, Brooklyn Decker, Tadanobu Asano","Director: Peter Berg; Writer: Erich Hoeber, Jon Hoeber"
135397,Jurassic World,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Nick Robinson","Director: Colin Trevorrow; Writer: Rick Jaffa, Amanda Silver"
37724,Skyfall,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes, Naomie Harris","Director: Sam Mendes; Writer: John Logan, Robert Wade"
558,Spider-Man 2,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina, Rosemary Harris",Director: Sam Raimi; Writer: Alvin Sargent
68721,Iron Man 3,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce, Rebecca Hall","Director: Shane Black; Writer: Shane Black, Drew Pearce"
12155,Alice in Wonderland,"Mia Wasikowska, Johnny Depp, Anne Hathaway, Helena Bonham Carter, Crispin Glover",Director: Tim Burton; Writer: Linda Woolverton
36668,X-Men: The Last Stand,"Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart, Famke Janssen","Director: Brett Ratner; Writer: Simon Kinberg, Zak Penn"
62211,Monsters University,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren, Noah Johnston","Director: Dan Scanlon; Writer: Daniel Gerson, Robert L. Baird"
8373,Transformers: Revenge of the Fallen,"Shia LaBeouf, Megan Fox, Josh Duhamel, Rainn Wilson, Tyrese Gibson",Director: Michael Bay; Writer: Ehren Kruger
91314,Transformers: Age of Extinction,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz, Jack Reynor",Director: Michael Bay; Writer: Ehren Kruger
68728,Oz: The Great and Powerful,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams, Zach Braff","Director: Sam Raimi; Writer: Mitchell Kapner, David Lindsay-Abaire"
102382,The Amazing Spider-Man 2,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan, Campbell Scott","Director: Marc Webb; Writer: Alex Kurtzman, Roberto Orci"
20526,TRON: Legacy,"Garrett Hedlund, Jeff Bridges, Olivia Wilde, Bruce Boxleitner, Yaya DaCosta","Director: Joseph Kosinski; Writer: Steven Lisberger, Richard Jefferies"
49013,Cars 2,"Owen Wilson, Larry the Cable Guy, Michael Caine, Emily Mortimer, John Turturro","Director: John Lasseter, Brad Lewis; Writer: Ben Queen"
44912,Green Lantern,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Tim Robbins, Mark Strong","Director: Martin Campbell; Writer: Michael Goldenberg, Greg Berlanti"
10193,Toy Story 3,"Tom Hanks, Tim Allen, Ned Beatty, Joan Cusack, Michael Keaton",Director: Lee Unkrich; Writer: Michael Arndt
534,Terminator Salvation,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood, Bryce Dallas Howard","Director: McG; Writer: John D. Brancato, Michael Ferris"
168259,Furious 7,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson",Director: James Wan; Writer: Chris Morgan
72190,World War Z,"Brad Pitt, Mireille Enos, Abigail Hargrove, Sterling Jerins, James Badge Dale","Director: Marc Forster; Writer: Matthew Michael Carnahan, Drew Goddard"
127585,X-Men: Days of Future Past,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry",Director: Bryan Singer; Writer: Simon Kinberg
54138,Star Trek Into Darkness,"Chris Pine, Zachary Quinto, Zoe Saldana, Karl Urban, Simon Pegg","Director: J.J. Abrams; Writer: Alex Kurtzman, Roberto Orci"
81005,Jack the Giant Slayer,"Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor, Stanley Tucci, Ian McShane","Director: Bryan Singer; Writer: Christopher McQuarrie, Dan Studney"
64682,The Great Gatsby,"Leonardo DiCaprio, Tobey Maguire, Carey Mulligan, Joel Edgerton, Elizabeth Debicki","Director: Baz Luhrmann; Writer: Baz Luhrmann, Craig Pearce"
9543,Prince of Persia: The Sands of Time,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina, Steve Toussaint","Director: Mike Newell; Writer: Boaz Yakin, Doug Miro"
68726,Pacific Rim,"Idris Elba, Charlie Hunnam, Charlie Day, Ron Perlman, Burn Gorman","Director: Guillermo del Toro; Writer: Travis Beacham, Guillermo del Toro"
38356,Transformers: Dark of the Moon,"Shia LaBeouf, John Malkovich, Ken Jeong, Frances McDormand, Josh Duhamel",Director: Michael Bay; Writer: Ehren Kruger
217,Indiana Jones and the Kingdom of the Crystal Skull,"Harrison Ford, Cate Blanchett, Shia LaBeouf, Ray Winstone, Karen Allen",Director: Steven Spielberg; Writer: David Koepp
105864,The Good Dinosaur,"Raymond Ochoa, Jack Bright, Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla",Director: Peter Sohn; Writer: Meg LeFauve
62177,Brave,"Kelly Macdonald, Julie Walters, Billy Connolly, Emma Thompson, Kevin McKidd","Director: Brenda Chapman, Mark Andrews; Writer: Irene Mecchi, Brenda Chapman"
188927,Star Trek Beyond,"Chris Pine, Zachary Quinto, Karl Urban, Simon Pegg, Zoe Saldana","Director: Justin Lin; Writer: Simon Pegg, Doug Jung"
10681,WALL·E,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, John Ratzenberger","Director: Andrew Stanton; Writer: Andrew Stanton, Jim Reardon"
5174,Rush Hour 3,"Chris Tucker, Jackie Chan, Hiroyuki Sanada, Max von Sydow, Yvan Attal",Director: Brett Ratner; Writer: Jeff Nathanson
14161,2012,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt","Director: Roland Emmerich; Writer: Harald Kloser, Roland Emmerich"
17979,A Christmas Carol,"Gary Oldman, Jim Carrey, Steve Valentine, Daryl Sabara, Sage Ryan",Director: Robert Zemeckis; Writer: Robert Zemeckis
76757,Jupiter Ascending,"Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne, Douglas Booth","Director: Lilly Wachowski, Lana Wachowski; Writer: Lilly Wachowski, Lana Wachowski"
258489,The Legend of Tarzan,"Alexander Skarsgård, Margot Robbie, Christoph Waltz, Samuel L. Jackson, Djimon Hounsou","Director: David Yates; Writer: Stuart Beattie, Craig Brewer"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","William Moseley, Anna Popplewell, Skandar Keynes, Georgie Henley, Liam Neeson","Director: Andrew Adamson; Writer: Andrew Adamson, Ann Peacock"
246655,X-Men: Apocalypse,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Oscar Isaac","Director: Bryan Singer; Writer: Bryan Singer, Simon Kinberg"
155,The Dark Knight,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal","Director: Christopher Nolan; Writer: Christopher Nolan, Jonathan Nolan"
14160,Up,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo","Director: Pete Docter; Writer: Bob Peterson, Pete Docter"
15512,Monsters vs Aliens,"Seth Rogen, Reese Witherspoon, Hugh Laurie, Paul Rudd, Kiefer Sutherland","Director: Conrad Vernon, Rob Letterman; Writer: Wallace Wolodarsky, Glenn Berger"
1726,Iron Man,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Shaun Toub, Gwyneth Paltrow","Director: Jon Favreau; Writer: Art Marcum, Matt Holloway"
44826,Hugo,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz, Ray Winstone","Director: Martin Scorsese; Writer: John Logan, Brian Selznick"
8487,Wild Wild West,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek, M. Emmet Walsh","Director: Barry Sonnenfeld; Writer: Jeffrey Price, Peter S. Seaman"
1735,The Mummy: Tomb of the Dragon Emperor,"Brendan Fraser, Jet Li, John Hannah, Maria Bello, Luke Ford","Director: Rob Cohen; Writer: Miles Millar, Alfred Gough"
297761,Suicide Squad,"Will Smith, Margot Robbie, Joel Kinnaman, Viola Davis, Jared Leto",Director: David Ayer; Writer: David Ayer
2698,Evan Almighty,"Steve Carell, Lauren Graham, John Goodman, Jimmy Bennett, John Michael Higgins",Director: Tom Shadyac; Writer: Steve Oedekerk
137113,Edge of Tomorrow,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton, Jonas Armstrong","Director: Doug Liman; Writer: Christopher McQuarrie, Jez Butterworth"
9804,Waterworld,"Kevin Costner, Chaim Girafi, Rick Aviles, R. D. Call, Zitto Kazann",Director: Kevin Reynolds
14869,G.I. Joe: The Rise of Cobra,"Dennis Quaid, Channing Tatum, Marlon Wayans, Sienna Miller, Joseph Gordon-Levitt","Director: Stephen Sommers; Writer: Stuart Beattie, David Elliot"
150540,Inside Out,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black","Director: Pete Docter; Writer: Pete Docter, Josh Cooley"
278927,The Jungle Book,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba, Scarlett Johansson",Director: Jon Favreau; Writer: Justin Marks
10138,Iron Man 2,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Mickey Rourke",Director: Jon Favreau; Writer: Justin Theroux
58595,Snow White and the Huntsman,"Kristen Stewart, Charlize Theron, Chris Hemsworth, Sam Claflin, Ian McShane","Director: Rupert Sanders; Writer: John Lee Hancock, Hossein Amini"
102651,Maleficent,"Angelina Jolie, Elle Fanning, Sharlto Copley, Sam Riley, Juno Temple",Director: Robert Stromberg; Writer: Linda Woolverton
119450,Dawn of the Planet of the Apes,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell","Director: Matt Reeves; Writer: Mark Bomback, Rick Jaffa"
79698,The Lovers,"Josh Hartnett, Simone Kessell, Tamsin Egerton, Alice Englert, Bipasha Basu",Director: Roland Joffé; Writer: Roland Joffé
64686,47 Ronin,"Keanu Reeves, Hiroyuki Sanada, Kou Shibasaki, Tadanobu Asano, Min Tanaka","Director: Carl Rinsch; Writer: Chris Morgan, Hossein Amini"
100402,Captain America: The Winter Soldier,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford, Sebastian Stan","Director: Anthony Russo, Joe Russo; Writer: Christopher Markus, Stephen McFeely"
10192,Shrek Forever After,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews","Director: Mike Mitchell; Writer: William Steig, Josh Klausner"
158852,Tomorrowland,"Britt Robertson, George Clooney, Raffey Cassidy, Thomas Robinson, Hugh Laurie","Director: Brad Bird; Writer: Brad Bird, Damon Lindelof"
177572,Big Hero 6,"Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller, Jamie Chung","Director: Chris Williams, Don Hall; Writer: Daniel Gerson, Robert L. Baird"
82690,Wreck-It Ralph,"John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch, Alan Tudyk","Director: Rich Moore; Writer: Phil Johnston, Jennifer Lee"
5255,The Polar Express,"Tom Hanks, Michael Jeter, Nona Gaye, Peter Scolari, Eddie Deezen","Director: Robert Zemeckis; Writer: Robert Zemeckis, William Broyles Jr."
47933,Independence Day: Resurgence,"Liam Hemsworth, Jeff Goldblum, Bill Pullman, Maika Monroe, Sela Ward","Director: Roland Emmerich; Writer: Roland Emmerich, Dean Devlin"
10191,How to Train Your Dragon,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill","Director: Chris Sanders, Dean DeBlois; Writer: Chris Sanders, Dean DeBlois"
296,Terminator 3: Rise of the Machines,"Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken, David Andrews","Director: Jonathan Mostow; Writer: John D. Brancato, Michael Ferris"
118340,Guardians of the Galaxy,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper","Director: James Gunn; Writer: James Gunn, Nicole Perlman"
157336,Interstellar,"Matthew McConaughey, Jessica Chastain, Anne Hathaway, Michael Caine, Casey Affleck","Director: Christopher Nolan; Writer: Christopher Nolan, Jonathan Nolan"
27205,Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy, Ken Watanabe",Director: Christopher Nolan; Writer: Christopher Nolan
315011,Shin Godzilla,"Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara, Kengo Kora, Matsuo Satoru","Director: Hideaki Anno, Shinji Higuchi; Writer: Hideaki Anno"
49051,The Hobbit: An Unexpected Journey,"Ian McKellen, Martin Freeman, Richard Armitage, Andy Serkis, Cate Blanchett","Director: Peter Jackson; Writer: Peter Jackson, Fran Walsh"
9799,The Fast and the Furious,"Paul Walker, Vin Diesel, Michelle Rodriguez, Jordana Brewster, Rick Yune","Director: Rob Cohen; Writer: Gary Scott Thompson, David Ayer"
4922,The Curious Case of Benjamin Button,"Cate Blanchett, Brad Pitt, Tilda Swinton, Julia Ormond, Elle Fanning",Director: David Fincher; Writer: Eric Roth
49538,X-Men: First Class,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon, Rose Byrne","Director: Matthew Vaughn; Writer: Matthew Vaughn, Jane Goldman"
131634,The Hunger Games: Mockingjay - Part 2,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks","Director: Francis Lawrence; Writer: Danny Strong, Peter Craig"
27022,The Sorcerer's Apprentice,"Nicolas Cage, Jay Baruchel, Monica Bellucci, Alfred Molina, Teresa Palmer","Director: Jon Turteltaub; Writer: Doug Miro, Carlo Bernard"
503,Poseidon,"Kurt Russell, Richard Dreyfuss, Josh Lucas, Jacinda Barrett, Emmy Rossum",Director: Wolfgang Petersen; Writer: Mark Protosevich
241259,Alice Through the Looking Glass,"Johnny Depp, Mia Wasikowska, Anne Hathaway, Helena Bonham Carter, Alan Rickman",Director: James Bobin; Writer: Linda Woolverton
810,Shrek the Third,"Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews, Antonio Banderas","Director: Chris Miller, Raman Hui; Writer: Jeffrey Price, Peter S. Seaman"
68735,Warcraft,"Paula Patton, Travis Fimmel, Ben Foster, Robert Kazinsky, Dominic Cooper","Director: Duncan Jones; Writer: Charles Leavitt, Duncan Jones"
87101,Terminator Genisys,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney, J.K. Simmons","Director: Alan Taylor; Writer: Laeta Kalogridis, Patrick Lussier"
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,"Skandar Keynes, Georgie Henley, Simon Pegg, Gary Sweet, Arthur Angel","Director: Michael Apted; Writer: Christopher Markus, Stephen McFeely"
676,Pearl Harbor,"Ben Affleck, Josh Hartnett, Kate Beckinsale, Cuba Gooding Jr., Jon Voight",Director: Michael Bay; Writer: Randall Wallace
1858,Transformers,"Shia LaBeouf, Josh Duhamel, Megan Fox, Rachael Taylor, Tyrese Gibson","Director: Michael Bay; Writer: Alex Kurtzman, Roberto Orci"
1966,Alexander,"Colin Farrell, Angelina Jolie, Val Kilmer, Jared Leto, Jonathan Rhys Meyers","Director: Oliver Stone; Writer: Oliver Stone, Laeta Kalogridis"
675,Harry Potter and the Order of the Phoenix,"Daniel Radcliffe, Rupert Grint, Emma Watson, Michael Gambon, Ralph Fiennes",Director: David Yates; Writer: Michael Goldenberg
674,Harry Potter and the Goblet of Fire,"Daniel Radcliffe, Rupert Grint, Emma Watson, Ralph Fiennes, Michael Gambon",Director: Mike Newell; Writer: Steve Kloves
8960,Hancock,"Will Smith, Charlize Theron, Jason Bateman, Jae Head, Eddie Marsan","Director: Peter Berg; Writer: Vincent Ngo, Vince Gilligan"
6479,I Am Legend,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield, Willow Smith","Director: Francis Lawrence; Writer: Akiva Goldsman, Mark Protosevich"
118,Charlie and the Chocolate Factory,"Johnny Depp, Freddie Highmore, David Kelly, AnnaSophia Robb, Julia Winter","Director: Tim Burton; Writer: Roald Dahl, John August"
2062,Ratatouille,"Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter Sohn","Director: Jan Pinkava, Brad Bird; Writer: Brad Bird"
272,Batman Begins,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman","Director: Christopher Nolan; Writer: Christopher Nolan, David S. Goyer"
10527,Madagascar: Escape 2 Africa,"Ben Stiller, Jada Pinkett Smith, David Schwimmer, Chris Rock, Cedric the Entertainer","Director: Eric Darnell, Tom McGrath"
18360,Night at the Museum: Battle of the Smithsonian,"Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Robin Williams",Director: Shawn Levy; Writer: Thomas Lennon
2080,X-Men Origins: Wolverine,"Hugh Jackman, Liev Schreiber, Danny Huston, Lynn Collins, Ryan Reynolds","Director: Gavin Hood; Writer: David Benioff, Skip Woods"
605,The Matrix Revolutions,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Mary Alice","Director: Lilly Wachowski, Lana Wachowski; Writer: Lilly Wachowski, Lana Wachowski"
109445,Frozen,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana","Director: Chris Buck, Jennifer Lee; Writer: Jennifer Lee"
604,The Matrix Reloaded,"Keanu Reeves, Carrie-Anne Moss, Laurence Fishburne, Hugo Weaving, Helmut Bakaitis","Director: Lilly Wachowski, Lana Wachowski; Writer: Lilly Wachowski, Lana Wachowski"
76338,Thor: The Dark World,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Christopher Eccleston","Director: Alan Taylor; Writer: Christopher Markus, Stephen McFeely"
76341,Mad Max: Fury Road,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman","Director: George Miller; Writer: George Miller, Nick Lathouris"
13448,Angels & Demons,"Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård, Pierfrancesco Favino","Director: Ron Howard; Writer: David Koepp, Akiva Goldsman"
10195,Thor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Stellan Skarsgård","Director: Kenneth Branagh; Writer: Don Payne, Ashley Edward Miller"
13053,Bolt,"John Travolta, Miley Cyrus, Susie Essman, Mark Walton, Malcolm McDowell","Director: Chris Williams, Byron Howard; Writer: Dan Fogelman, Chris Williams"
19585,G-Force,"Sam Rockwell, Penélope Cruz, Tracy Morgan, Jon Favreau, Steve Buscemi","Director: Hoyt Yeatman; Writer: Ted Elliott, Terry Rossio"
57165,Wrath of the Titans,"Sam Worthington, Liam Neeson, Ralph Fiennes, Edgar Ramírez, Toby Kebbell","Director: Jonathan Liebesman; Writer: David Leslie Johnson, Dan Mazeau"
62213,Dark Shadows,"Johnny Depp, Michelle Pfeiffer, Helena Bonham Carter, Jackie Earle Haley, Jonny Lee Miller",Director: Tim Burton; Writer: Seth Grahame-Smith
177677,Mission: Impossible - Rogue Nation,"Tom Cruise, Rebecca Ferguson, Simon Pegg, Jeremy Renner, Ving Rhames",Director: Christopher McQuarrie; Writer: Christopher McQuarrie
7978,The Wolfman,"Benicio del Toro, Anthony Hopkins, Emily Blunt, Hugo Weaving, Cristina Contes","Director: Joe Johnston; Writer: Curt Siodmak, Andrew Kevin Walker"
5559,Bee Movie,"Jerry Seinfeld, Renée Zellweger, Jim Cummings, Matthew Broderick, Patrick Warburton","Director: Steve Hickner, Simon J. Smith; Writer: Jerry Seinfeld, Spike Feresten"
49444,Kung Fu Panda 2,"Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman, Jackie Chan","Director: Jennifer Yuh Nelson; Writer: Glenn Berger, Jonathan Aibel"
10196,The Last Airbender,"Noah Ringer, Nicola Peltz, Jackson Rathbone, Dev Patel, Shaun Toub",Director: M. Night Shyamalan; Writer: M. Night Shyamalan
956,Mission: Impossible III,"Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Billy Crudup, Jonathan Rhys Meyers","Director: J.J. Abrams; Writer: J.J. Abrams, Alex Kurtzman"
117251,White House Down,"Channing Tatum, Jamie Foxx, Joey King, Maggie Gyllenhaal, Richard Jenkins",Director: Roland Emmerich; Writer: James Vanderbilt
50321,Mars Needs Moms,"Seth Green, Joan Cusack, Dan Fogler, Breckin Meyer, Elisabeth Harnois",Director: Simon Wells; Writer: Simon Wells
11619,Flushed Away,"Hugh Jackman, Kate Winslet, Ian McKellen, Jean Reno, Bill Nighy","Director: David Bowers, Sam Fell; Writer: Dick Clement, William Davies"
266647,Pan,"Levi Miller, Garrett Hedlund, Hugh Jackman, Rooney Mara, Amanda Seyfried",Director: Joe Wright; Writer: Jason Fuchs
82703,Mr. Peabody & Sherman,"Ty Burrell, Max Charles, Ariel Winter, Allison Janney, Ellie Kemper",Director: Rob Minkoff; Writer: Craig Wright
652,Troy,"Brad Pitt, Orlando Bloom, Eric Bana, Brian Cox, Sean Bean",Director: Wolfgang Petersen; Writer: David Benioff
80321,Madagascar 3: Europe's Most Wanted,"Ben Stiller, Sacha Baron Cohen, David Schwimmer, Frances McDormand, Chris Rock","Director: Conrad Vernon, Eric Darnell; Writer: Noah Baumbach, Eric Darnell"
36669,Die Another Day,"Pierce Brosnan, Halle Berry, Rosamund Pike, Rick Yune, Toby Stephens","Director: Lee Tamahori; Writer: Robert Wade, Neal Purvis"
43074,Ghostbusters,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones, Chris Hemsworth","Director: Paul Feig; Writer: Paul Feig, Katie Dippold"
95,Armageddon,"Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler, Will Patton","Director: Michael Bay; Writer: Robert Roy Pool, Jonathan Hensleigh"
608,Men in Black II,"Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle, Johnny Knoxville","Director: Barry Sonnenfeld; Writer: Barry Fanaro, Robert Gordon"
2310,Beowulf,"Ray Winstone, Angelina Jolie, Anthony Hopkins, Robin Wright, John Malkovich","Director: Robert Zemeckis; Writer: Roger Avary, Neil Gaiman"
140300,Kung Fu Panda 3,"Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie, J.K. Simmons","Director: Jennifer Yuh Nelson, Alessandro Carloni; Writer: Glenn Berger, Jonathan Aibel"
56292,Mission: Impossible - Ghost Protocol,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton, Anil Kapoor","Director: Brad Bird; Writer: Josh Appelbaum, André Nemec"
81188,Rise of the Guardians,"Chris Pine, Alec Baldwin, Jude Law, Isla Fisher, Hugh Jackman",Director: Peter Ramsey; Writer: David Lindsay-Abaire
7552,Fun with Dick and Jane,"Jim Carrey, Téa Leoni, Alec Baldwin, Richard Jenkins, Angie Harmon","Director: Dean Parisot; Writer: Judd Apatow, Nicholas Stoller"
616,The Last Samurai,"Tom Cruise, Ken Watanabe, William Atherton, Chad Lindberg, Billy Connolly","Director: Edward Zwick; Writer: John Logan, Edward Zwick"
147441,Exodus: Gods and Kings,"Christian Bale, Joel Edgerton, John Turturro, Aaron Paul, Ben Mendelsohn","Director: Ridley Scott; Writer: Steven Zaillian, Jeffrey Caine"
